A,1,2,3,2,3,3,1,2,2
A,2,1,1,1,1,1,1,4,4
A,1,2,1,1,3,4,4,2,3
A,1,2,3,2,3,2,1,3,3
A,2,1,1,1,3,3,3,4,4
A,1,2,1,1,0,0,1,5,6
A,1,2,3,2,0,3,2,7,7
A,2,1,1,1,0,1,1,8,4
A,1,2,1,1,1,1,1,9,9
A,1,2,3,2,6,5,4,1,1
A,2,1,1,1,3,4,5,2,2
A,1,2,1,1,3,4,5,3,3
B,-1,-2,-3,-2,-3,-3,-1,-2,-2
B,-2,-1,-1,-1,-1,-1,-1,-4,-4
B,-1,-2,-1,-1,-3,-4,-4,-2,-3
B,-1,-2,-3,-2,-3,-2,-1,-3,-3
B,-2,-1,-1,-1,-3,-3,-3,-4,-4
B,-1,-2,-1,-1,-0,-0,-1,-5,-6
B,-1,-2,-3,-2,-0,-3,-2,-7,-7
B,-2,-1,-1,-1,-0,-1,-1,-8,-4
B,-1,-2,-1,-1,-1,-1,-1,-9,-9
B,-1,-2,-3,-2,-6,-5,-4,-1,-1
B,-2,-1,-1,-1,-3,-4,-5,-2,-2
B,-1,-2,-1,-1,-3,-4,-5,-3,-3
